Player,Team,Position,GP,TOI,Goals,Total_Assists,Primary_Assist,Secondary_Assist,Total_Points,goals_per_60,assists_per_60,points_per_60,IPP,Shots,Shooting_Perc,ixG,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Perc
Haydn Fleury,SEA,D,13,199.1500,2,0,0,0,2,0.603,0.000,0.603,33.33,17,11.76,0.67,36,26,7,2,1,1,4,2,2,0,0,0,4,1,25,19,18,0,0,0.00
Nick Jensen,WSH,D,24,399.2333,3,6,4,2,9,0.451,0.902,1.353,33.33,36,8.33,1.35,73,50,20,3,0,1,0,0,0,0,0,3,12,9,38,68,24,0,0,0.00
Alexandre Carrier,NSH,D,20,316.8667,1,3,2,1,4,0.189,0.568,0.757,33.33,19,5.26,0.75,44,27,10,2,1,2,10,5,5,0,0,2,7,12,5,33,17,0,0,0.00
Alex Pietrangelo,VGK,D,22,412.7000,2,5,2,3,7,0.291,0.727,1.018,33.33,42,4.76,1.46,85,59,21,1,1,3,4,2,2,0,0,1,10,24,16,47,40,0,0,0.00
Matt Dumba,MIN,D,23,413.1833,2,3,2,1,5,0.290,0.436,0.726,33.33,42,4.76,1.62,92,55,23,6,1,6,12,6,6,0,0,3,10,7,31,21,28,0,0,0.00
Rasmus Ristolainen,PHI,D,19,329.9167,1,3,2,1,4,0.182,0.546,0.727,33.33,21,4.76,0.90,54,36,13,3,2,7,6,3,3,0,0,3,8,6,54,56,25,0,0,0.00
Kyle Burroughs,VAN,D,20,249.6333,1,1,0,1,2,0.240,0.240,0.481,33.33,21,4.76,0.71,44,26,13,1,0,1,15,6,5,1,0,0,3,3,51,38,23,0,0,0.00
Mark Giordano,SEA,D,19,303.5333,1,2,0,2,3,0.198,0.395,0.593,33.33,22,4.55,1.00,66,44,14,1,0,2,14,3,2,0,1,2,9,3,11,39,23,0,0,0.00
Vince Dunn,SEA,D,21,343.3000,1,3,1,2,4,0.175,0.524,0.699,33.33,23,4.35,1.02,54,32,20,1,3,1,7,2,1,1,0,4,16,5,23,18,14,0,0,0.00
Scott Mayfield,NYI,D,18,301.9667,1,1,0,1,2,0.199,0.199,0.397,33.33,24,4.17,1.18,56,35,18,3,0,4,16,5,3,2,0,1,15,4,26,18,23,0,0,0.00
Jake Muzzin,TOR,D,24,425.5167,1,5,2,3,6,0.141,0.705,0.846,33.33,26,3.85,0.89,67,39,16,0,1,1,6,3,3,0,0,2,25,3,46,62,26,0,0,0.00
Brandon Montour,FLA,D,23,329.2500,1,5,1,4,6,0.182,0.911,1.093,33.33,36,2.78,2.22,77,55,29,6,0,8,18,9,9,0,0,2,14,7,11,33,16,0,0,0.00
Jacob Trouba,NYR,D,21,375.6167,1,4,2,2,5,0.160,0.639,0.799,33.33,38,2.63,1.88,87,57,27,9,4,5,8,4,4,0,0,6,17,2,41,35,33,0,0,0.00
Trevor van Riemsdyk,WSH,D,24,357.5500,0,6,2,4,6,0.000,1.007,1.007,33.33,26,0.00,1.13,51,35,14,4,0,1,0,0,0,0,0,2,7,6,10,22,27,0,0,0.00
Tyler Myers,VAN,D,24,421.6167,0,5,4,1,5,0.000,0.712,0.712,33.33,33,0.00,1.44,68,42,22,5,1,4,10,5,5,0,0,3,7,8,41,34,42,0,0,0.00
Christopher Tanev,CGY,D,23,389.0167,0,5,3,2,5,0.000,0.771,0.771,33.33,20,0.00,0.74,45,28,14,2,1,1,6,3,3,0,0,2,15,6,7,71,18,0,0,0.00
Andrew Peeke,CBJ,D,21,300.1500,0,4,1,3,4,0.000,0.800,0.800,33.33,11,0.00,0.33,27,19,3,0,0,1,15,6,5,1,0,0,4,5,30,27,29,0,0,0.00
Alec Martinez,VGK,D,11,184.1667,0,3,0,3,3,0.000,0.977,0.977,33.33,8,0.00,0.27,19,11,3,0,0,0,2,1,1,0,0,1,9,2,8,15,25,0,0,0.00
Gustav Lindstrom,DET,D,18,249.4333,0,3,1,2,3,0.000,0.722,0.722,33.33,18,0.00,0.43,25,21,4,0,0,3,8,4,4,0,0,1,8,4,16,21,21,0,0,0.00
Andrej Sekera,DAL,D,15,198.2833,0,2,1,1,2,0.000,0.605,0.605,33.33,10,0.00,0.32,24,14,3,0,0,3,10,5,5,0,0,0,3,2,9,18,10,0,0,0.00
Jordan Oesterle,DET,D,9,154.2333,0,2,1,1,2,0.000,0.778,0.778,33.33,12,0.00,0.37,18,16,3,0,1,0,2,1,1,0,0,0,3,1,5,19,8,0,0,0.00
Jakub Zboril,BOS,D,10,145.6167,0,2,0,2,2,0.000,0.824,0.824,33.33,12,0.00,0.78,19,14,4,1,0,1,4,2,2,0,0,1,4,1,19,15,8,0,0,0.00
Sami Niku,MTL,D,9,111.2667,0,2,2,0,2,0.000,1.078,1.078,33.33,6,0.00,0.14,13,7,3,1,1,1,2,1,1,0,0,1,3,0,5,12,13,0,0,0.00
Sebastian Aho2,NYI,D,7,105.9500,0,1,0,1,1,0.000,0.566,0.566,33.33,10,0.00,0.38,12,10,3,2,0,2,0,0,0,0,0,0,3,2,6,7,4,0,0,0.00
Santeri Hatakka,S.J,D,7,89.7167,0,1,1,0,1,0.000,0.669,0.669,33.33,2,0.00,0.12,6,5,2,0,1,0,2,1,1,0,0,0,3,0,4,8,5,0,0,0.00
Derek Ryan,EDM,C,18,161.9333,1,0,0,0,1,0.371,0.000,0.371,33.33,15,6.67,2.05,23,18,16,7,0,3,0,0,0,0,0,2,4,5,5,18,8,79,51,60.77
Zack MacEwen,PHI,C,19,182.0000,1,0,0,0,1,0.330,0.000,0.330,33.33,20,5.00,1.95,33,28,18,11,1,0,11,4,3,1,0,2,2,7,36,26,10,3,2,60.00
Casey Cizikas,NYI,C,16,173.9333,0,1,1,0,1,0.000,0.345,0.345,33.33,19,0.00,2.13,32,27,23,13,3,0,8,4,4,0,0,1,5,3,38,22,5,89,67,57.05
Sean Monahan,CGY,C,23,264.0333,0,2,2,0,2,0.000,0.454,0.454,33.33,21,0.00,1.90,47,33,27,7,2,3,4,2,2,0,0,4,6,13,14,16,10,101,100,50.25
Beck Malenstyn,WSH,L,5,43.0000,1,0,0,0,1,1.395,0.000,1.395,33.33,4,25.00,0.52,6,6,5,3,0,0,2,1,1,0,0,0,0,0,14,12,3,1,1,50.00
Matt Martin,NYI,L,16,170.7833,0,1,0,1,1,0.000,0.351,0.351,33.33,15,0.00,1.19,22,18,10,4,1,1,19,4,2,1,1,1,3,3,67,7,6,4,4,50.00
Pierre-Edouard Bellemare,T.B,L,22,244.9000,1,2,1,1,3,0.245,0.490,0.735,33.33,16,6.25,1.47,41,27,27,8,5,0,2,1,1,0,0,2,2,5,30,36,9,62,66,48.44
Chris Tierney,OTT,C,21,236.5333,2,0,0,0,2,0.507,0.000,0.507,33.33,18,11.11,2.35,32,25,22,10,1,5,2,1,1,0,0,1,4,4,13,11,13,77,85,47.53
Brayden Point,T.B,C,16,237.8500,4,1,0,1,5,1.009,0.252,1.261,33.33,25,16.00,2.84,42,38,34,16,3,0,5,1,0,1,0,2,6,9,12,15,5,35,61,36.46
Hendrix Lapierre,WSH,C,6,51.8000,1,0,0,0,1,1.158,0.000,1.158,33.33,7,14.29,0.57,9,7,9,5,0,1,2,1,1,0,0,0,1,3,1,2,2,6,15,28.57
Axel Jonsson-Fjallby,WSH,L,8,91.4500,0,1,1,0,1,0.000,0.656,0.656,33.33,9,0.00,0.73,17,13,7,5,0,2,2,1,1,0,0,0,3,0,6,12,3,1,3,25.00
Janne Kuokkanen,N.J,L,20,238.0333,1,1,0,1,2,0.252,0.252,0.504,33.33,20,5.00,2.33,38,30,25,9,5,0,4,2,2,0,0,1,4,12,17,20,7,0,1,0.00
Taylor Raddysh,T.B,R,21,213.8000,0,3,3,0,3,0.000,0.842,0.842,33.33,21,0.00,2.40,31,28,24,17,4,0,4,1,1,0,0,2,0,3,24,23,4,0,1,0.00
Jon Merrill,MIN,D,23,333.9333,2,6,4,2,8,0.359,1.078,1.437,32.00,23,8.70,0.88,47,35,10,0,2,1,6,3,3,0,0,0,3,3,17,40,22,0,0,0.00
Jamie Drysdale,ANA,D,24,395.0167,2,3,2,1,5,0.304,0.456,0.759,31.25,33,6.06,1.59,73,53,12,4,0,5,4,2,2,0,0,4,5,2,9,17,22,0,0,0.00
Erik Johnson,COL,D,20,290.7000,2,3,0,3,5,0.413,0.619,1.032,31.25,35,5.71,1.10,67,40,23,1,0,4,4,2,2,0,0,0,3,9,30,17,25,0,0,0.00
Ben Chiarot,MTL,D,25,460.2000,4,0,0,0,4,0.522,0.000,0.522,30.77,35,11.43,1.58,74,42,28,6,2,5,18,9,9,0,0,2,18,5,47,38,35,0,0,0.00
MacKenzie Weegar,FLA,D,23,446.5500,0,8,7,1,8,0.000,1.075,1.075,30.77,40,0.00,1.77,74,54,22,5,1,4,0,0,0,0,0,2,25,27,59,34,37,0,0,0.00
Jani Hakanpaa,DAL,D,20,251.3833,0,4,2,2,4,0.000,0.955,0.955,30.77,17,0.00,0.44,37,25,9,0,0,4,15,6,5,1,0,2,4,0,43,41,16,0,0,0.00
Hampus Lindholm,ANA,D,24,435.7667,3,4,4,0,7,0.413,0.551,0.964,30.43,39,7.69,1.98,82,55,28,7,0,4,14,7,7,0,0,2,12,8,13,26,24,0,0,0.00
Ivan Provorov,PHI,D,21,367.2333,1,2,0,2,3,0.163,0.327,0.490,30.00,31,3.23,1.42,66,43,20,7,0,3,10,5,5,0,0,0,20,4,13,29,36,0,0,0.00
Brett Pesce,CAR,D,15,241.8833,0,3,0,3,3,0.000,0.744,0.744,30.00,20,0.00,0.87,46,30,9,2,1,0,4,2,2,0,0,2,5,2,7,18,14,0,0,0.00
Noah Dobson,NYI,D,16,244.7833,0,3,2,1,3,0.000,0.735,0.735,30.00,25,0.00,0.74,55,33,13,1,0,5,2,1,1,0,0,2,15,1,22,22,33,0,0,0.00
Sean Kuraly,CBJ,C,21,242.9667,2,1,1,0,3,0.494,0.247,0.741,30.00,26,7.69,2.79,45,39,25,13,3,1,8,4,4,0,0,2,3,4,52,20,15,126,105,54.55
TJ Brodie,TOR,D,24,425.2000,0,5,2,3,5,0.000,0.706,0.706,29.41,10,0.00,0.54,40,19,12,2,1,0,8,4,4,0,0,1,18,12,9,44,27,0,0,0.00
Adam Larsson,SEA,D,23,429.7667,1,3,2,1,4,0.140,0.419,0.558,28.57,27,3.70,0.84,70,46,15,0,0,3,14,7,7,0,0,2,7,3,51,28,30,0,0,0.00
Nick Leddy,DET,D,24,450.2667,0,4,0,4,4,0.000,0.533,0.533,28.57,20,0.00,0.60,34,29,6,0,0,0,4,2,2,0,0,1,13,7,11,15,17,0,0,0.00
Mark Pysyk,BUF,D,23,383.2167,0,4,1,3,4,0.000,0.626,0.626,28.57,29,0.00,1.28,52,43,13,6,2,2,6,3,3,0,0,2,5,9,17,16,24,0,0,0.00
Kyle Capobianco,ARI,D,9,117.5167,0,2,1,1,2,0.000,1.021,1.021,28.57,7,0.00,0.54,13,10,3,0,0,1,4,1,1,0,0,2,2,2,7,3,6,0,0,0.00
Timothy Liljegren,TOR,D,14,200.0000,0,2,0,2,2,0.000,0.600,0.600,28.57,17,0.00,0.68,38,22,9,3,0,1,2,1,1,0,0,1,5,7,14,30,15,0,0,0.00
Riley Sheahan,SEA,C,17,165.1500,1,1,0,1,2,0.363,0.363,0.727,28.57,17,5.88,1.43,26,21,14,9,1,0,0,0,0,0,0,4,1,4,4,8,8,64,62,50.79
Nick Bonino,S.J,C,23,286.7833,2,0,0,0,2,0.418,0.000,0.418,28.57,27,7.41,2.10,39,34,24,13,5,0,8,4,4,0,0,3,2,12,7,13,21,71,120,37.17
Elias Pettersson,VAN,C,24,321.2000,0,2,1,1,2,0.000,0.374,0.374,28.57,26,0.00,2.63,44,33,26,13,0,6,4,2,2,0,0,3,6,8,5,23,10,41,80,33.88
Jake Walman,STL,D,15,181.1667,0,2,1,1,2,0.000,0.662,0.662,28.57,19,0.00,1.09,44,31,16,2,0,1,4,2,2,0,0,0,8,3,8,9,11,0,2,0.00
Scott Perunovich,STL,D,9,127.3167,0,2,1,1,2,0.000,0.943,0.943,28.57,5,0.00,0.17,11,7,3,0,0,0,2,1,1,0,0,0,2,3,3,11,4,0,7,0.00
Zach Whitecloud,VGK,D,10,148.2667,2,1,1,0,3,0.809,0.405,1.214,27.27,18,11.11,0.64,40,24,11,2,0,4,4,2,2,0,0,0,4,1,19,22,17,0,0,0.00
Ryan Murray,COL,D,17,218.9833,0,3,1,2,3,0.000,0.822,0.822,27.27,10,0.00,0.46,20,13,5,2,1,1,2,1,1,0,0,1,5,3,12,13,19,0,0,0.00
Jonas Siegenthaler,N.J,D,21,324.5333,0,3,0,3,3,0.000,0.555,0.555,27.27,23,0.00,0.81,60,34,20,2,7,0,13,5,4,1,0,2,14,7,21,36,29,4,0,100.00
Marcus Pettersson,PIT,D,19,297.1167,1,3,1,2,4,0.202,0.606,0.808,26.67,23,4.35,0.82,40,28,10,2,0,2,6,3,3,0,0,1,4,4,37,54,14,0,0,0.00
Radko Gudas,FLA,D,22,349.4167,0,4,1,3,4,0.000,0.687,0.687,26.67,33,0.00,1.37,62,45,16,2,0,4,20,7,5,2,0,2,13,9,89,40,32,0,0,0.00
Connor Murphy,CHI,D,22,405.2167,1,1,0,1,2,0.148,0.148,0.296,25.00,14,7.14,0.54,44,21,15,1,0,0,14,7,7,0,0,2,13,8,44,42,40,0,0,0.00
Ryan Graves,N.J,D,21,362.5500,2,3,1,2,5,0.331,0.496,0.827,25.00,29,6.90,1.33,66,46,20,6,12,0,8,4,4,0,0,5,15,6,23,36,25,0,0,0.00
Josh Morrissey,WPG,D,22,411.1333,0,4,1,3,4,0.000,0.584,0.584,25.00,29,0.00,1.86,63,45,19,5,2,2,6,3,3,0,0,2,12,6,33,14,24,0,0,0.00
Matt Roy,L.A,D,22,374.6167,0,4,4,0,4,0.000,0.641,0.641,25.00,41,0.00,1.42,78,56,21,4,15,0,6,3,3,0,0,0,16,2,22,45,26,0,0,0.00
Brian Dumoulin,PIT,D,18,331.5167,0,2,0,2,2,0.000,0.362,0.362,25.00,20,0.00,0.89,47,34,12,1,0,1,8,4,4,0,0,1,9,7,19,37,27,0,0,0.00
Dylan DeMelo,WPG,D,22,271.2333,0,2,1,1,2,0.000,0.442,0.442,25.00,18,0.00,0.77,29,22,7,4,2,2,8,4,4,0,0,2,13,2,24,23,21,0,0,0.00
Matthew Benning,NSH,D,20,266.8000,0,2,1,1,2,0.000,0.450,0.450,25.00,18,0.00,0.49,33,21,9,0,0,1,6,3,3,0,0,1,8,3,25,27,13,0,0,0.00
Nils Lundkvist,NYR,D,16,201.7667,0,2,1,1,2,0.000,0.595,0.595,25.00,12,0.00,0.37,28,19,3,1,0,1,0,0,0,0,0,1,9,2,9,18,12,0,0,0.00
Nick Holden,OTT,D,15,210.9833,0,1,1,0,1,0.000,0.284,0.284,25.00,10,0.00,0.49,31,18,9,1,0,1,2,1,1,0,0,1,8,3,20,27,14,0,0,0.00
Alex Chiasson,VAN,R,19,137.5000,0,1,0,1,1,0.000,0.436,0.436,25.00,11,0.00,0.82,19,13,11,4,2,0,4,2,2,0,0,3,3,1,19,17,3,0,0,0.00
Slater Koekkoek,EDM,D,11,105.5333,0,1,1,0,1,0.000,0.569,0.569,25.00,4,0.00,0.13,14,8,5,2,2,0,10,5,5,0,0,0,1,1,12,15,11,0,0,0.00
Juuso Riikola,PIT,D,5,57.4167,0,1,0,1,1,0.000,1.045,1.045,25.00,7,0.00,0.16,10,7,2,0,0,0,2,1,1,0,0,0,1,0,13,12,1,0,0,0.00
Andrej Sustr,T.B,D,8,82.5167,1,0,0,0,1,0.727,0.000,0.727,25.00,8,12.50,0.34,18,13,2,0,1,0,2,1,1,0,0,0,3,1,2,5,2,2,0,100.00
Tobias Bjornfot,L.A,D,22,359.5333,0,3,2,1,3,0.000,0.501,0.501,25.00,20,0.00,1.00,42,28,19,5,4,0,2,1,1,0,0,3,7,7,2,35,22,1,0,100.00
Kiefer Sherwood,COL,L,8,70.8333,0,1,0,1,1,0.000,0.847,0.847,25.00,7,0.00,0.62,12,8,7,3,1,0,0,0,0,0,0,2,1,3,8,8,3,1,0,100.00
Alex Galchenyuk,ARI,C,9,109.4333,0,1,1,0,1,0.000,0.548,0.548,25.00,12,0.00,0.54,18,16,9,1,0,2,2,1,1,0,0,0,2,2,4,6,5,10,7,58.82
Dmitrij Jaskin,ARI,R,12,154.2167,0,1,1,0,1,0.000,0.389,0.389,25.00,19,0.00,1.89,36,28,20,11,0,2,2,1,1,0,0,0,7,3,44,18,9,3,3,50.00
Juho Lammikko,VAN,L,20,160.2500,0,1,0,1,1,0.000,0.374,0.374,25.00,12,0.00,0.74,21,14,11,3,2,0,4,2,2,0,0,4,2,3,22,8,9,38,44,46.34
Trevor Lewis,CGY,C,23,260.7833,0,2,1,1,2,0.000,0.460,0.460,25.00,30,0.00,2.07,50,41,28,7,0,0,2,1,1,0,0,2,3,3,48,32,9,14,18,43.75
Ryan Carpenter,CHI,C,19,193.6167,0,1,1,0,1,0.000,0.310,0.310,25.00,18,0.00,1.41,29,23,18,6,1,1,2,1,1,0,0,2,4,6,51,23,2,21,27,43.75
John Hayden,BUF,C,18,179.5500,0,1,0,1,1,0.000,0.334,0.334,25.00,17,0.00,1.54,33,24,19,6,2,2,4,2,2,0,0,4,4,5,36,17,9,1,2,33.33
Marcus Johansson,SEA,L,12,164.4000,1,0,0,0,1,0.365,0.000,0.365,25.00,21,4.76,1.47,28,23,18,6,2,3,0,0,0,0,0,0,2,5,3,9,3,2,8,20.00
Matt Grzelcyk,BOS,D,20,342.0333,0,3,2,1,3,0.000,0.526,0.526,25.00,35,0.00,1.33,64,47,16,3,0,1,2,1,1,0,0,0,7,4,9,18,24,0,5,0.00
Rasmus Andersson,CGY,D,23,379.8333,0,5,3,2,5,0.000,0.790,0.790,23.81,23,0.00,0.61,41,28,8,0,2,2,8,4,4,0,0,1,10,5,6,20,23,0,0,0.00
Dante Fabbro,NSH,D,23,400.5500,0,4,2,2,4,0.000,0.599,0.599,23.53,25,0.00,0.99,64,39,15,0,0,2,10,5,5,0,0,2,6,4,7,38,24,0,0,0.00
Mike Reilly,BOS,D,18,279.0167,1,1,0,1,2,0.215,0.215,0.430,22.22,28,3.57,0.85,50,35,10,2,1,4,2,1,1,0,0,0,6,1,23,25,9,0,0,0.00
Jake McCabe,CHI,D,22,380.7833,0,2,0,2,2,0.000,0.315,0.315,22.22,22,0.00,1.01,46,31,19,2,2,3,11,4,3,1,0,2,14,9,45,43,33,0,0,0.00
Danny DeKeyser,DET,D,19,305.4833,0,2,1,1,2,0.000,0.393,0.393,22.22,23,0.00,0.95,46,27,11,2,0,1,8,4,4,0,0,0,5,3,13,18,27,0,0,0.00
Jeremy Lauzon,SEA,D,20,301.9167,0,2,1,1,2,0.000,0.397,0.397,22.22,20,0.00,0.50,42,28,8,1,0,4,20,7,5,2,0,2,4,2,58,36,13,0,0,0.00
Jacob Middleton,S.J,D,17,269.5833,1,1,1,0,2,0.223,0.223,0.445,22.22,23,4.35,0.69,32,26,10,0,8,0,13,5,4,1,0,5,4,6,25,10,21,9,0,100.00
Martin Fehervary,WSH,D,24,399.8167,1,3,1,2,4,0.150,0.450,0.600,21.05,24,4.17,0.72,48,38,9,2,0,5,4,2,2,0,0,2,9,3,61,50,28,0,0,0.00
Noah Hanifin,CGY,D,22,368.2667,1,3,0,3,4,0.163,0.489,0.652,21.05,37,2.70,1.89,85,57,25,6,2,7,2,1,1,0,0,3,14,9,12,25,19,0,0,0.00
Carson Soucy,SEA,D,17,263.1833,2,0,0,0,2,0.456,0.000,0.456,20.00,22,9.09,1.09,38,26,15,2,0,1,6,3,3,0,0,0,7,7,34,23,13,0,0,0.00
Travis Dermott,TOR,D,17,240.3500,1,1,0,1,2,0.250,0.250,0.499,20.00,15,6.67,0.80,30,17,8,3,0,1,2,1,1,0,0,2,14,3,17,16,13,0,0,0.00
Brandon Carlo,BOS,D,20,322.5167,2,0,0,0,2,0.372,0.000,0.372,20.00,40,5.00,1.20,67,56,7,0,3,1,6,3,3,0,0,2,7,7,31,53,23,0,0,0.00
Tucker Poolman,VAN,D,21,318.7167,1,1,0,1,2,0.188,0.188,0.377,20.00,25,4.00,0.97,59,32,19,3,1,3,10,1,0,0,1,2,8,4,14,22,18,0,0,0.00
Cam Fowler,ANA,D,24,413.6833,1,2,0,2,3,0.145,0.290,0.435,20.00,28,3.57,0.85,65,38,17,1,1,0,4,2,2,0,0,2,12,5,13,26,24,0,0,0.00
Damon Severson,N.J,D,20,309.8667,1,0,0,0,1,0.194,0.000,0.194,20.00,32,3.13,1.55,60,46,17,4,6,0,10,5,5,0,0,0,10,6,17,28,27,0,0,0.00
Thomas Chabot,OTT,D,21,452.7833,0,4,1,3,4,0.000,0.530,0.530,20.00,47,0.00,2.60,99,66,30,8,1,5,6,3,3,0,0,8,20,7,26,44,30,0,0,0.00
Erik Gustafsson,CHI,D,21,276.8667,0,3,1,2,3,0.000,0.650,0.650,20.00,19,0.00,0.58,42,25,10,0,1,2,2,1,1,0,0,1,10,1,15,25,22,0,0,0.00
Zdeno Chara,NYI,D,15,244.9667,0,2,1,1,2,0.000,0.490,0.490,20.00,16,0.00,0.42,34,24,6,0,0,0,10,5,5,0,0,1,12,0,33,11,13,0,0,0.00
Kris Russell,EDM,D,10,150.3667,0,2,0,2,2,0.000,0.798,0.798,20.00,9,0.00,0.15,18,10,2,0,0,1,2,1,1,0,0,0,5,1,9,10,24,0,0,0.00
David Savard,MTL,D,25,421.6333,0,2,1,1,2,0.000,0.285,0.285,20.00,19,0.00,0.71,43,28,7,2,0,3,6,3,3,0,0,3,19,5,42,23,35,0,0,0.00
Adam Pelech,NYI,D,14,244.2833,0,2,1,1,2,0.000,0.491,0.491,20.00,10,0.00,0.34,23,15,6,1,0,2,2,1,1,0,0,1,6,8,26,26,20,0,0,0.00
Colton White,N.J,D,6,75.9167,0,1,0,1,1,0.000,0.790,0.790,20.00,4,0.00,0.17,7,5,2,1,0,0,2,1,1,0,0,0,2,0,5,13,1,0,0,0.00
Troy Stecher,DET,D,6,76.9833,0,1,1,0,1,0.000,0.779,0.779,20.00,4,0.00,0.13,11,7,3,0,1,0,2,1,1,0,0,0,7,0,8,11,6,0,0,0.00
Radim Simek,S.J,D,15,190.1833,0,1,1,0,1,0.000,0.315,0.315,20.00,14,0.00,0.86,24,19,11,1,3,0,2,1,1,0,0,3,8,5,25,37,18,0,0,0.00
Mason Appleton,SEA,C,12,144.8000,1,0,0,0,1,0.414,0.000,0.414,20.00,15,6.67,1.04,21,18,9,5,0,2,2,1,1,0,0,2,0,1,7,16,6,5,6,45.45
Max Comtois,ANA,L,13,138.4000,0,1,0,1,1,0.000,0.434,0.434,20.00,14,0.00,1.58,26,23,14,5,2,4,7,2,1,1,0,1,10,2,15,11,4,4,5,44.44
Tyler Pitlick,CGY,C,20,228.6667,0,1,0,1,1,0.000,0.262,0.262,20.00,17,0.00,1.33,38,28,21,6,0,2,2,1,1,0,0,3,2,6,38,27,12,0,5,0.00
Oskar Lindblom,PHI,L,20,236.1167,0,1,0,1,1,0.000,0.254,0.254,20.00,22,0.00,2.55,41,29,24,11,1,6,6,3,3,0,0,1,4,6,23,29,8,0,3,0.00
Ryan Lindgren,NYR,D,21,354.3667,1,2,2,0,3,0.169,0.339,0.508,18.75,19,5.26,0.64,40,27,13,3,1,3,4,2,2,0,0,3,10,3,23,30,34,0,0,0.00
Torey Krug,STL,D,18,298.5000,0,3,2,1,3,0.000,0.603,0.603,18.75,20,0.00,0.99,51,33,14,3,1,4,12,6,6,0,0,0,5,2,11,14,11,0,0,0.00
K'Andre Miller,NYR,D,21,351.2833,1,1,1,0,2,0.171,0.171,0.342,18.18,14,7.14,0.65,46,28,9,0,1,0,10,5,5,0,0,2,7,8,21,17,24,0,0,0.00
Alexander Romanov,MTL,D,24,376.5167,1,1,0,1,2,0.159,0.159,0.319,18.18,25,4.00,0.53,67,36,9,0,1,1,4,2,2,0,0,3,19,5,65,51,21,0,0,0.00
Niko Mikkola,STL,D,8,100.1500,1,0,0,0,1,0.599,0.000,0.599,16.67,12,8.33,0.46,21,15,8,1,0,2,4,2,2,0,0,1,2,1,15,21,7,0,0,0.00
Kristian Vesalainen,WPG,L,18,146.3333,1,0,0,0,1,0.410,0.000,0.410,16.67,13,7.69,0.90,23,15,11,5,1,2,0,0,0,0,0,2,2,0,19,12,2,0,0,0.00
Brenden Dillon,WPG,D,22,376.2000,0,3,1,2,3,0.000,0.478,0.478,16.67,30,0.00,1.19,78,44,26,1,2,3,12,6,6,0,0,2,8,4,56,31,22,0,0,0.00
Ian Cole,CAR,D,22,288.6000,0,2,0,2,2,0.000,0.416,0.416,16.67,24,0.00,0.70,54,31,7,1,0,4,8,4,4,0,0,2,12,3,29,35,22,0,0,0.00
Oliver Ekman-Larsson,VAN,D,24,403.5833,0,2,0,2,2,0.000,0.297,0.297,16.67,54,0.00,1.81,108,73,26,3,2,10,12,6,6,0,0,4,7,6,31,39,9,0,0,0.00
Connor Clifton,BOS,D,11,159.5500,0,1,0,1,1,0.000,0.376,0.376,16.67,20,0.00,0.58,31,26,6,1,0,0,10,5,5,0,0,4,1,3,34,26,6,0,0,0.00
Cal Foote,T.B,D,12,139.0500,0,1,1,0,1,0.000,0.431,0.431,16.67,12,0.00,0.53,32,21,6,1,3,0,0,0,0,0,0,1,2,0,13,14,9,0,0,0.00
J.T. Compher,COL,L,12,136.6333,1,0,0,0,1,0.439,0.000,0.439,16.67,14,7.14,1.54,24,20,13,7,1,3,4,2,2,0,0,4,2,3,5,9,5,33,41,44.59
Marc Staal,DET,D,21,275.9000,0,2,1,1,2,0.000,0.435,0.435,15.38,20,0.00,0.69,43,29,14,3,1,2,2,1,1,0,0,2,6,3,19,18,18,0,0,0.00
Robert Hagg,BUF,D,23,353.3833,0,2,0,2,2,0.000,0.340,0.340,15.38,19,0.00,0.67,52,32,12,1,1,2,10,5,5,0,0,4,9,1,42,27,41,0,0,0.00
Jeff Petry,MTL,D,25,436.0667,0,2,0,2,2,0.000,0.275,0.275,15.38,29,0.00,0.88,75,38,17,1,3,7,4,2,2,0,0,2,25,3,47,35,22,0,6,0.00
Simon Benoit,ANA,D,12,166.6833,1,0,0,0,1,0.360,0.000,0.360,14.29,7,14.29,0.37,17,14,4,0,0,1,0,0,0,0,0,0,9,0,42,22,8,0,0,0.00
Jordie Benn,MIN,D,7,90.7167,0,1,1,0,1,0.000,0.661,0.661,14.29,8,0.00,0.15,13,10,1,0,0,1,2,1,1,0,0,0,1,1,8,10,7,0,0,0.00
Josh Manson,ANA,D,24,392.6500,2,0,0,0,2,0.306,0.000,0.306,13.33,31,6.45,1.50,59,43,20,7,2,5,16,8,8,0,0,3,17,16,55,30,14,0,0,0.00
Dysin Mayo,ARI,D,18,299.4333,1,0,0,0,1,0.200,0.000,0.200,12.50,18,5.56,0.65,35,25,11,2,0,3,2,1,1,0,0,1,8,2,17,15,25,0,0,0.00
Travis Sanheim,PHI,D,21,387.2667,0,2,1,1,2,0.000,0.310,0.310,11.76,28,0.00,1.32,60,44,16,4,1,2,4,2,2,0,0,1,8,7,12,33,24,0,0,0.00
Esa Lindell,DAL,D,21,392.9333,0,1,1,0,1,0.000,0.153,0.153,11.11,41,0.00,1.12,60,44,19,4,1,3,2,1,1,0,0,1,12,2,39,26,30,0,0,0.00
