Player,Team,Position,GP,TOI,Goals,Total_Assists,Primary_Assist,Secondary_Assist,Total_Points,goals_per_60,assists_per_60,points_per_60,IPP,Shots,Shooting_Perc,ixG,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Perc
Jamie Benn,DAL,L,21,274.3500,2,1,0,1,3,0.437,0.219,0.656,60.00,33,6.06,2.65,54,43,34,12,3,1,14,7,7,0,0,2,11,7,47,16,12,113,76,59.79
Nico Sturm,MIN,C,23,237.6000,2,4,2,2,6,0.505,1.010,1.515,60.00,35,5.71,2.80,50,43,28,12,3,3,6,3,3,0,0,2,6,3,19,34,4,79,54,59.40
Adam Henrique,ANA,C,23,317.8000,3,6,3,3,9,0.566,1.133,1.699,60.00,51,5.88,5.65,86,70,59,38,6,9,2,1,1,0,0,3,9,8,9,16,18,23,19,54.76
William Karlsson,VGK,C,8,110.2000,1,2,2,0,3,0.544,1.089,1.633,60.00,15,6.67,1.00,23,18,14,3,0,2,0,0,0,0,0,0,4,3,4,10,2,56,52,51.85
Dominik Simon,PIT,C,17,151.2667,1,2,2,0,3,0.397,0.793,1.190,60.00,18,5.56,1.34,26,23,15,8,1,0,0,0,0,0,0,1,1,4,13,15,10,2,2,50.00
Oskar Sundqvist,STL,C,9,106.8500,0,3,3,0,3,0.000,1.685,1.685,60.00,13,0.00,0.97,25,15,15,3,1,3,6,3,3,0,0,3,5,1,14,11,4,14,14,50.00
Ryan McLeod,EDM,C,13,118.3667,3,0,0,0,3,1.521,0.000,1.521,60.00,9,33.33,0.61,13,12,9,4,1,0,2,1,1,0,0,1,6,4,4,10,2,53,54,49.53
Phillip Danault,L.A,C,22,297.5833,3,6,2,4,9,0.605,1.210,1.815,60.00,39,7.69,3.22,63,56,36,15,7,0,6,3,3,0,0,3,4,4,22,20,9,101,107,48.56
Thomas Novak,NSH,C,20,192.6667,0,3,1,2,3,0.000,0.934,0.934,60.00,18,0.00,1.36,31,28,19,7,1,1,2,1,1,0,0,2,4,8,2,19,4,34,39,46.58
Sidney Crosby,PIT,C,11,166.5500,1,2,1,1,3,0.360,0.721,1.081,60.00,19,5.26,2.10,31,24,25,12,1,3,2,1,1,0,0,0,7,2,5,4,5,73,86,45.91
Aliaksei Protas,WSH,C,13,151.1500,1,2,1,1,3,0.397,0.794,1.191,60.00,16,6.25,1.72,28,21,23,9,0,3,0,0,0,0,0,0,10,4,6,15,1,29,36,44.62
Jasper Weatherby,S.J,C,22,232.5833,1,2,1,1,3,0.258,0.516,0.774,60.00,18,5.56,1.62,33,26,21,9,5,0,12,6,6,0,0,1,6,8,24,22,11,41,79,34.17
Nino Niederreiter,CAR,R,16,192.9167,3,3,2,1,6,0.933,0.933,1.866,60.00,31,9.68,3.41,44,34,31,20,0,6,0,0,0,0,0,3,7,1,20,17,8,3,7,30.00
Dawson Mercer,N.J,C,21,272.6333,6,6,6,0,12,1.320,1.320,2.641,60.00,35,17.14,3.30,65,50,42,21,5,0,10,4,4,0,0,3,14,14,7,23,9,50,118,29.76
Tim Stützle,OTT,L,21,279.4500,0,3,1,2,3,0.000,0.644,0.644,60.00,30,0.00,2.65,53,44,34,8,2,3,6,3,3,0,0,5,9,7,28,30,10,7,20,25.93
Kyle Palmieri,NYI,R,18,243.0667,1,5,3,2,6,0.247,1.234,1.481,60.00,37,2.70,3.41,59,48,35,16,2,3,12,6,6,0,0,8,4,4,15,23,5,1,3,25.00
Luke Kunin,NSH,C,23,277.8667,3,3,3,0,6,0.648,0.648,1.296,60.00,25,12.00,3.28,54,44,35,14,0,3,10,5,5,0,0,3,6,7,56,11,15,4,16,20.00
Nicolas Deslauriers,ANA,L,24,270.0167,1,2,1,1,3,0.222,0.444,0.667,60.00,24,4.17,2.48,42,33,25,15,3,4,21,6,3,3,0,1,3,2,106,20,13,1,5,16.67
Andrei Svechnikov,CAR,R,22,270.2333,6,6,3,3,12,1.332,1.332,2.664,60.00,43,13.95,4.82,77,62,44,20,1,11,20,10,10,0,0,5,18,8,37,24,0,0,1,0.00
Mats Zuccarello,MIN,R,17,225.3667,6,4,2,2,10,1.597,1.065,2.662,58.82,24,25.00,2.02,39,30,24,8,2,2,0,0,0,0,0,3,7,7,8,5,10,4,8,33.33
Ryan Hartman,MIN,R,23,292.5167,9,8,7,1,17,1.846,1.641,3.487,58.62,63,14.29,4.49,96,80,51,18,2,11,10,5,5,0,0,6,5,6,19,15,11,97,84,53.59
Adrian Kempe,L.A,C,22,277.8667,5,2,1,1,7,1.080,0.432,1.512,58.33,41,12.20,3.78,76,59,44,25,11,0,10,4,4,0,0,5,4,7,28,17,3,14,7,66.67
