date,visitor, visitor_goals,home,home_goals,extra_time
2021-11-30,Detroit Red Wings,2,Boston Bruins,1,no
2021-11-30,Carolina Hurricanes,1,Dallas Stars,4,no
2021-11-30,Washington Capitals,4,Florida Panthers,5,no
2021-11-30,Anaheim Ducks,5,Los Angeles Kings,4,SO
2021-11-30,Arizona Coyotes,2,Minnesota Wild,5,no
2021-11-30,San Jose Sharks,5,New Jersey Devils,2,no
2021-11-30,Columbus Blue Jackets,0,Nashville Predators,6,no
2021-11-30,Tampa Bay Lightning,3,St. Louis Blues,4,SO
2021-12-01,Vegas Golden Knights,5,Anaheim Ducks,6,no
2021-12-01,Seattle Kraken,3,Detroit Red Wings,4,SO
2021-12-01,Pittsburgh Penguins,2,Edmonton Oilers,5,no
2021-12-01,Philadelphia Flyers,1,New York Rangers,4,no
2021-12-01,Vancouver Canucks,6,Ottawa Senators,2,no
2021-12-01,Colorado Avalanche,3,Toronto Maple Leafs,8,no
2021-12-02,Ottawa Senators,3,Carolina Hurricanes,2,no
2021-12-02,Columbus Blue Jackets,2,Dallas Stars,3,no
2021-12-02,Buffalo Sabres,4,Florida Panthers,7,no
2021-12-02,Calgary Flames,3,Los Angeles Kings,2,no
2021-12-02,New Jersey Devils,2,Minnesota Wild,5,no
2021-12-02,Colorado Avalanche,4,Montreal Canadiens,1,no
2021-12-02,Boston Bruins,2,Nashville Predators,0,no
2021-12-02,San Jose Sharks,2,New York Islanders,1,OT
2021-12-02,St. Louis Blues,2,Tampa Bay Lightning,4,no
2021-12-02,Chicago Blackhawks,4,Washington Capitals,3,SO
2021-12-03,Calgary Flames,4,Anaheim Ducks,3,SO
2021-12-03,Vegas Golden Knights,7,Arizona Coyotes,1,no
2021-12-03,San Jose Sharks,0,New York Rangers,1,no
2021-12-03,Edmonton Oilers,3,Seattle Kraken,4,no
2021-12-03,New Jersey Devils,4,Winnipeg Jets,8,no
2021-12-04,Tampa Bay Lightning,3,Boston Bruins,2,OT
2021-12-04,Buffalo Sabres,2,Carolina Hurricanes,6,no
2021-12-04,New York Islanders,3,Detroit Red Wings,4,OT
2021-12-04,St. Louis Blues,3,Florida Panthers,4,SO
2021-12-04,Toronto Maple Leafs,3,Minnesota Wild,4,SO
2021-12-04,Montreal Canadiens,3,Nashville Predators,4,OT
2021-12-04,Chicago Blackhawks,2,New York Rangers,3,no
2021-12-04,Colorado Avalanche,5,Ottawa Senators,6,OT
2021-12-04,Pittsburgh Penguins,4,Vancouver Canucks,1,no
2021-12-04,Columbus Blue Jackets,1,Washington Capitals,3,no
2021-12-05,San Jose Sharks,4,Columbus Blue Jackets,6,no
2021-12-05,Los Angeles Kings,5,Edmonton Oilers,1,no
2021-12-05,Chicago Blackhawks,3,New York Islanders,2,SO
2021-12-05,Tampa Bay Lightning,7,Philadelphia Flyers,1,no
2021-12-05,Calgary Flames,2,Vegas Golden Knights,3,no
2021-12-05,Toronto Maple Leafs,3,Winnipeg Jets,6,no
2021-12-06,Arizona Coyotes,1,Dallas Stars,4,no
2021-12-06,Ottawa Senators,3,New Jersey Devils,2,SO
2021-12-06,Colorado Avalanche,7,Philadelphia Flyers,5,no
2021-12-06,Pittsburgh Penguins,6,Seattle Kraken,1,no
2021-12-06,Los Angeles Kings,0,Vancouver Canucks,4,no
2021-12-06,Anaheim Ducks,3,Washington Capitals,4,SO
2021-12-07,Anaheim Ducks,2,Buffalo Sabres,0,no
2021-12-07,New York Rangers,6,Chicago Blackhawks,2,no
2021-12-07,Nashville Predators,5,Detroit Red Wings,2,no
2021-12-07,Minnesota Wild,4,Edmonton Oilers,1,no
2021-12-07,Tampa Bay Lightning,3,Montreal Canadiens,2,no
2021-12-07,New York Islanders,5,Ottawa Senators,3,no
2021-12-07,Calgary Flames,3,San Jose Sharks,5,no
2021-12-07,Florida Panthers,3,St. Louis Blues,4,OT
2021-12-07,Columbus Blue Jackets,4,Toronto Maple Leafs,5,no
2021-12-07,Carolina Hurricanes,4,Winnipeg Jets,2,no
2021-12-08,Philadelphia Flyers,0,New Jersey Devils,3,no
2021-12-08,Colorado Avalanche,7,New York Rangers,3,no
2021-12-08,Boston Bruins,1,Vancouver Canucks,2,SO
2021-12-08,Dallas Stars,4,Vegas Golden Knights,5,no
2021-12-09,Anaheim Ducks,2,Columbus Blue Jackets,1,SO
2021-12-09,Carolina Hurricanes,2,Calgary Flames,1,OT
2021-12-09,Boston Bruins,3,Edmonton Oilers,2,no
2021-12-09,Dallas Stars,0,Los Angeles Kings,4,no
2021-12-09,Chicago Blackhawks,2,Montreal Canadiens,0,no
2021-12-09,Nashville Predators,4,New York Islanders,3,no
2021-12-09,Winnipeg Jets,3,Seattle Kraken,0,no
2021-12-09,Minnesota Wild,5,San Jose Sharks,2,no
2021-12-09,Detroit Red Wings,2,St. Louis Blues,6,no
2021-12-09,Tampa Bay Lightning,5,Toronto Maple Leafs,3,no
2021-12-10,Florida Panthers,3,Arizona Coyotes,1,no
2021-12-10,New York Rangers,2,Buffalo Sabres,1,no
2021-12-10,Detroit Red Wings,3,Colorado Avalanche,7,no
2021-12-10,Nashville Predators,3,New Jersey Devils,2,no
2021-12-10,Winnipeg Jets,3,Vancouver Canucks,4,SO
2021-12-10,Philadelphia Flyers,4,Vegas Golden Knights,3,no
2021-12-10,Pittsburgh Penguins,4,Washington Capitals,2,no
2021-12-11,Philadelphia Flyers,5,Arizona Coyotes,3,no
